,player_id,FirstLastTeam,Playing.for,DvP_position,Position,uf_position,games_played,dt_avg,disp_avg,risk,team_disp,usage,Season,highest_avg,talent,form
615,TomMcCartin12627,TMcCartinSYD,Sydney,KeyD,FWD,FWD,12,48,10,55,371.7,2.690341673,2019,48.08333333,50.5,48.1
616,TomMcDonald12009,TMcDonaldMEL,Melbourne,KeyF,FWD,FWD,8,69,15,36,386.2,3.883997929,2019,69.375,79.88461538,86
617,TomPapley12412,TPapleySYD,Sydney,GenF,FWD,FWD,15,76,15,68,371.7,4.03551251,2019,76,79.20833333,76.83333333
621,TomSparrow12693,TSparrowMEL,Melbourne,Mid,MID,FWD,2,52,11,9,386.2,2.848265148,2019,52,52,40
623,ToryDickson12043,TDicksonWBD,Western Bulldogs,GenF,FWD,FWD,12,60,12,55,387.6,3.095975232,2019,59.91666667,59.95833333,60.27272727
626,TravisColyer11821,TColyerFRE,Fremantle,MF,MID,FWD,4,62,16,18,363.1,4.406499587,2019,61.5,63.07142857,59.33333333
627,TravisVarcoe11549,TVarcoeCOL,Collingwood,GenF,DEF,FWD,12,52,12,55,399.2,3.006012024,2019,51.58333333,51.79166667,52.5
631,TysonStengle12552,TStengleADE,Adelaide,GenF,FWD,FWD,4,58,8,18,383,2.088772846,2019,58,58,58
636,WillHayward12509,WHaywardSYD,Sydney,GenF,FWD,FWD,9,57,12,41,371.7,3.228410008,2019,57.22222222,58.36666667,57.83333333
637,WillHoskin-Elliott12026,WHoskin-ElliottCOL,Collingwood,NA,NA,FWD,13,79,16,59,399.2,4.008016032,2019,78.92307692,83.93333333,80.18181818
638,WillieRioli12606,WRioliWCE,West Coast,GenF,FWD,FWD,12,64,14,55,356.1,3.931479921,2019,64.33333333,64.16666667,65.5
641,WillSnelling12484,WSnellingESS,Essendon,Mid,MID,FWD,3,72,18,14,381.6,4.716981132,2019,71.66666667,72,71.66666667
646,ZacFisher12520,ZFisherCAR,Carlton,Mid,FWD,FWD,14,55,15,64,347,4.322766571,2019,55.35714286,59.05,54.09090909
648,ZachSproule12758,ZSprouleGWS,Greater Western Sydney,KeyF,FWD,FWD,1,23,5,5,377.9,1.32310135,2019,23,23,23
650,ZacLangdon12599,ZLangdonGWS,Greater Western Sydney,GenF,FWD,FWD,2,42,8,9,377.9,2.116962159,2019,42,47.46666667,42
654,ZakButters12698,ZButtersPOR,Port Adelaide,Mid,MID,FWD,13,57,14,59,375.5,3.728362184,2019,57.46153846,57.23076923,54.4
1,AaronFrancis12467,AFrancisESS,Essendon,KeyF,DEF,DEF,12,52,13,55,381.6,3.406708595,2019,51.91666667,58.5,55.55555556
6,AdamCerra12603,ACerraFRE,Fremantle,Mid,MID,DEF,13,58,14,59,363.1,3.855687139,2019,57.69230769,59.89285714,59.9
7,AdamKennedy12031,AKennedyGWS,Greater Western Sydney,GenD,DEF,DEF,12,64,17,55,377.9,4.498544589,2019,63.83333333,67.28571429,65.22222222
8,AdamSaad12330,ASaadESS,Essendon,GenD,DEF,DEF,14,69,18,64,381.6,4.716981132,2019,68.92857143,84.5,67.90909091
11,AidanCorr12181,ACorrGWS,Greater Western Sydney,GenD,DEF,DEF,2,41,12,9,377.9,3.175443239,2019,41,46.65384615,41
16,AlexPearce12352,APearceFRE,Fremantle,KeyD,DEF,DEF,4,40,11,18,363.1,3.029468466,2019,40.5,40.25,24
17,AlexRance11733,ARanceRIC,Richmond,KeyD,DEF,DEF,1,24,6,5,366.8,1.635768811,2019,24,44.83333333,52
19,AlexWitherden12546,AWitherdenBRI,Brisbane Lions,GenD,DEF,DEF,14,68,17,64,373.5,4.551539491,2019,67.85714286,78.22222222,69.45454545
20,AliirAliir12433,AAliirSYD,Sydney,KeyD,DEF,DEF,15,68,16,68,371.7,4.304546677,2019,68.13333333,70.6,68.16666667
32,BacharHouli11566,BHouliRIC,Richmond,GenD,Def,DEF,14,104,29,64,366.8,7.906215921,2019,104.0714286,104.0357143,97.63636364
37,BaileyWilliams12441,BWilliamsWBD,Western Bulldogs,GenD,DEF,DEF,8,65,16,36,387.6,4.127966976,2019,65,71.5,70.4
39,BayleyFritsch12598,BFritschMEL,Melbourne,GenD,FWD,DEF,15,81,17,68,386.2,4.401864319,2019,81.13333333,81.06666667,84.25
49,BenMcKay12580,BMcKayNME,North Melbourne,KeyD,DEF,DEF,2,40,8,9,367.9,2.174503941,2019,39.5,39.75,32
51,BenPaton12671,BPatonSTK,St Kilda,GenD,DEF,DEF,7,58,13,32,388.7,3.344481605,2019,57.57142857,58.5,57.57142857
54,BenStratton11824,BStrattonHAW,Hawthorn,KeyD,DEF,DEF,13,35,9,59,376.5,2.390438247,2019,35,44,33.5
59,BlakeHardwick12469,BHardwickHAW,Hawthorn,GenD,DEF,DEF,15,69,17,68,376.5,4.515272244,2019,69.33333333,69.16666667,71.41666667
65,BradSheppard11843,BSheppardWCE,West Coast,GenD,DEF,DEF,15,81,19,68,356.1,5.335579893,2019,80.8,80.9,79.91666667
69,BrandonStarcevich12668,BStarcevichBRI,Brisbane Lions,GenF,FWD,DEF,1,31,7,5,373.5,1.87416332,2019,31,32.5,31
71,BrandonZerk-Thatcher12757,BZerk-ThatcherESS,Essendon,NA,NA,DEF,1,56,11,5,381.6,2.882599581,2019,56,56,56
74,BraydenMaynard12371,BMaynardCOL,Collingwood,GenD,DEF,DEF,15,75,19,68,399.2,4.759519038,2019,75.33333333,76.46428571,78
84,BrodieSmith11891,BSmithADE,Adelaide,GenD,DEF,DEF,15,88,23,68,383,6.005221932,2019,88.2,88.1,88.58333333
87,CalebDaniel12373,CDanielWBD,Western Bulldogs,GenD,MID,DEF,10,96,27,45,387.6,6.965944272,2019,95.6,95.8,95.85714286
88,CalebGraham12754,CGrahamGCS,Gold Coast,KeyD,DEF,DEF,3,46,12,14,339.9,3.530450132,2019,45.66666667,45.83333333,45.66666667
89,CalebMarchbank12369,CMarchbankCAR,Carlton,GenD,DEF,DEF,6,55,13,27,347,3.746397695,2019,55,59.16666667,56
90,CaleHooker11702,CHookerESS,Essendon,KeyD,DEF,DEF,11,73,18,50,381.6,4.716981132,2019,73.18181818,74.88461538,70.22222222
95,CallumMills12413,CMillsSYD,Sydney,GenD,DEF,DEF,15,76,18,68,371.7,4.842615012,2019,75.53333333,75.76666667,76.66666667
97,CallumWilkie12703,CWilkieSTK,St Kilda,GenD,DEF,DEF,15,61,14,68,388.7,3.601749421,2019,61.26666667,61.13333333,62.91666667
107,ChangkuothJiath12752,CJiathHAW,Hawthorn,GenF,FWD,DEF,2,54,14,9,376.5,3.718459495,2019,53.5,53.75,53.5
