player_id,Playing.for,uf_position,dt_avg,disp_avg,risk,usage,talent,form,model_raw,projected,adp
JackDarling11905,West Coast,FWD,80,13,68,3.650659927,80.13333333,78.16666667,39.68865137153877,71.23168124116478,19.2316812411648
JackGunston11845,Hawthorn,FWD,79,16,59,4.249667995,83.53333333,73.5,40.25282771727741,72.24424347834574,20.2442434783457
JackHiggins12609,Richmond,FWD,58,14,27,3.816793893,59.92307692,50,25.7491129615656,46.213528133039034,-5.78647186696097
JackLonie12324,St Kilda,FWD,68,14,41,3.601749421,68.55555556,65,31.680496245131295,56.858949148203756,4.85894914820376
JackLukosius12704,Gold Coast,FWD,57,12,68,3.530450132,56.83333333,59.58333333,29.188034400619838,52.385573473329515,0.385573473329515
JackPetruccelle12623,West Coast,FWD,47,10,55,2.808199944,46.91666667,48.66666667,22.028393382969686,39.53572221493813,-12.4642777850619
JackRiewoldt11576,Richmond,FWD,56,11,41,2.998909487,69.93333333,59.375,30.117928094298925,54.054511290244555,2.05451129024456
JackSilvagni12458,Carlton,FWD,65,14,55,4.034582133,65.08333333,69,33.14530760394177,59.48793683570299,7.48793683570299
JackSinclair12325,St Kilda,FWD,64,17,68,4.373552869,70.88461538,62.58333333,35.45033918387968,63.62491980385441,11.6249198038544
JackZiebell11724,North Melbourne,FWD,89,20,68,5.436259853,91.625,94.25,48.9959596941782,87.93608405508654,35.9360840550865
JacobHeron12634,Gold Coast,FWD,45,11,23,3.236245955,45.2,45.4,19.141957664622396,34.355257222875714,-17.6447427771243
JadeGresham12415,St Kilda,FWD,90,23,55,5.917159763,89.91666667,91.44444444,47.78863872665606,85.76923032379591,33.7692303237959
JaidynStephenson12587,Collingwood,FWD,82,15,23,3.75751503,82.1,100,40.60145866027762,72.86995302866838,20.8699530286684
JakeMelksham11820,Melbourne,FWD,69,14,27,3.625064733,71.8,66.6,31.87554062310967,57.2090073759318,5.2090073759318
JakeStringer12167,Essendon,FWD,60,12,50,3.144654088,66.5,63,30.64263365108215,54.99623285735865,2.99623285735865
JakeWaterman12601,West Coast,FWD,61,12,45,3.369839933,61.05,60.28571429,28.499980552440412,51.15068060857926,-0.849319391420742
JamesBell12753,Sydney,FWD,37,7,9,1.883239171,37,37,11.775493924298795,21.134208411889496,-30.8657915881105
JamesRowbottom12714,Sydney,FWD,70,15,41,4.03551251,70.22222222,70.44444444,33.85678454969312,60.76486858467496,8.76486858467496
JamieCripps11937,West Coast,FWD,63,12,45,3.369839933,72.7,57.875,31.665292894459885,56.831662752939636,4.83166275293964
JamieElliott12083,Collingwood,FWD,69,11,41,2.755511022,73.5,67.375,32.150105018011885,57.7017851041232,5.7017851041232
JarrodBrander12646,West Coast,FWD,48,8,5,2.246559955,54.5,41,18.125877962362424,32.53163603732688,-19.4683639626731
JarrodCameron12736,West Coast,FWD,51,8,32,2.246559955,50.78571429,50.57142857,20.75051482306552,37.24223440171181,-14.7577655982882
JasonCastagna12431,Richmond,FWD,73,16,64,4.362050164,72.85714286,73.58333333,37.58133903105781,67.44955724033878,15.4495572403388
JaydenHunt4729,Melbourne,FWD,50,11,64,2.848265148,60.5,49.72727273,27.15760220865998,48.74143103761045,-3.25856896238955
JaydenLaverde12377,Essendon,FWD,59,12,41,3.144654088,63,55.42857143,27.572340967341347,49.485788379969854,-2.51421162003015
JayLockhart12706,Melbourne,FWD,47,11,32,2.848265148,47,47.66666667,20.127806585127274,36.12462135167824,-15.8753786483218
JeremyCameron12017,Greater Western Sydney,FWD,83,15,59,3.969304049,83.45454545,81.5,41.10345636742213,73.77091941133453,21.7709194113345
JeremyFinlayson12553,Greater Western Sydney,FWD,68,13,55,3.440063509,67.75,62,31.75946965224891,57.00068761418662,5.00068761418662
JesseHogan12321,Fremantle,FWD,55,14,23,3.855687139,71.80769231,61,31.00694358453967,55.650082463134005,3.65008246313401
JonathonCeglar12210,Hawthorn,FWD,75,13,50,3.452855246,74.81818182,79.125,36.453200564297816,65.42481724834775,13.4248172483478
JordanDawson12516,Sydney,FWD,79,19,59,5.111649179,79.03846154,84.4,42.196499430444355,75.7326715081543,23.7326715081543
JordanGallucci12534,Adelaide,FWD,57,12,27,3.133159269,56.90909091,54.25,24.373548791494727,43.74471790383782,-8.25528209616218
JoshBegley12574,Essendon,FWD,51,12,32,3.144654088,54.25,51.6,23.525553707909797,42.222768595897534,-9.77723140410247
JoshCaddy12010,Richmond,FWD,69,17,41,4.634678299,73.06666667,65.42857143,34.90595517949707,62.64788010779716,10.6478801077972
