FirstLastTeam,ID,First Intial,First Name,Last Name,Team,DvP Position,Position,Height,Weight
TGoldsackCOL,176,T,Tyson,Goldsack,COL,KeyD,DEF,,
TLangdonCOL,177,T,Tom,Langdon,COL,GenD,DEF,,
TPhillipsCOL,178,T,Tom,Phillips,COL,Mid,MID,,
TVarcoeCOL,179,T,Travis,Varcoe,COL,GenF,DEF,,
WH-ElliottCOL,180,W,Will,Hoskin-Elliott,COL,MF,FWD,,
WKellyCOL,873,W,Will,Kelly,COL,KeyD,DEF,,
AFrancisESS,181,A,Aaron,Francis,ESS,KeyF,DEF,192,90
AM-TipungwutiESS,182,A,Anthony,McDonald-Tipungwuti,ESS,GenF,FWD,,
AMcGrathESS,183,A,Andrew,McGrath,ESS,GenD,MID,,
ASaadESS,184,A,Adam,Saad,ESS,GenD,DEF,,
BGoddardESS,185,B,Brendon,Goddard,ESS,Mid,MID,,
BMcNieceESS,186,B,Ben,McNiece,ESS,GenD,DEF,,
BZ-ThatcherESS,187,B,Brandon,Zerk-Thatcher,ESS,KeyD,DEF,,
BHamESS,834,B,Brayden,Ham,ESS,Mid,MID,,
CHookerESS,188,C,Cale,Hooker,ESS,KeyD,DEF,,
CMcKennaESS,189,C,Conor,McKenna,ESS,GenD,DEF,,
DClarkeESS,190,D,Dylan,Clarke,ESS,Mid,MID,,
DHeppellESS,191,D,Dyson,Heppell,ESS,Mid,MID,,
DMyersESS,192,D,David,Myers,ESS,Mid,MID,,
DParishESS,193,D,Darcy,Parish,ESS,Mid,MID,,
DSmithESS,194,D,Devon,Smith,ESS,MF,FWD,,
DZaharakisESS,195,D,David,Zaharakis,ESS,Mid,MID,,
DShielESS,369,D,Dylan,Shiel,ESS,Mid,MID,,
IMosquitoESS,835,I,Irving,Mosquito,ESS,GenF,MID,,
JBegleyESS,196,J,Joshua,Begley,ESS,GenF,FWD,,
JDaniherESS,197,J,Joe,Daniher,ESS,KeyF,FWD,200,
JGreenESS,198,J,Josh,Green,ESS,GenF,FWD,,
JHoulahanESS,199,J,Jordan,Houlahan,ESS,GenF,FWD,,
JLaverdeESS,200,J,Jayden,Laverde,ESS,GenD,FWD,,
JLongESS,201,J,Jake,Long,ESS,Mid,MID,,
JMerrettESS,202,J,Jackson,Merrett,ESS,GenF,FWD,,
JRidleyESS,203,J,Jordan,Ridley,ESS,GenD,DEF,,
JStewartESS,204,J,James,Stewart,ESS,KeyF,FWD,198,
JStringerESS,205,J,Jake,Stringer,ESS,MF,FWD,,
KLangfordESS,206,K,Kyle,Langford,ESS,GenF,FWD,,
KMutchESS,207,K,Kobe,Mutch,ESS,Mid,MID,,
LLavenderESS,208,L,Luke,Lavender,ESS,Ruck,RU,,
MBaguleyESS,209,M,Mark,Baguley,ESS,GenD,DEF,,
MBrownESS,210,M,Mitch,Brown,ESS,KeyF,DEF,196,
MDeaESS,211,M,Matt,Dea,ESS,GenD,DEF,,
MGleesonESS,212,M,Martin,Gleeson,ESS,GenD,DEF,,
MGuelfiESS,213,M,Matt,Guelfi,ESS,GenF,FWD,,
MHartleyESS,214,M,Michael,Hartley,ESS,KeyD,DEF,,
MHurleyESS,215,M,Michael,Hurley,ESS,KeyD,DEF,,
MLeuenbergerESS,216,M,Matthew,Leuenberger,ESS,Ruck,RU,,
MRedmanESS,217,M,Mason,Redman,ESS,GenD,DEF,,
NGownESS,939,N,Noah,Gown,ESS,KeyF,FWD,194,92
OFantasiaESS,218,O,Orazio,Fantasia,ESS,MF,FWD,,
PAmbroseESS,219,P,Patrick,Ambrose,ESS,GenD,DEF,,
SDraperESS,220,S,Sam,Draper,ESS,Ruck,RU,,
SMcKernanESS,221,S,Shaun,McKernan,ESS,Ruck,RU,,
TBellchambersESS,222,T,Tom,Bellchambers,ESS,Ruck,RU,,
TMynottESS,224,T,Trent,Mynott,ESS,Mid,MID,,
TJokESS,836,T,Tom,Jok,ESS,GenD,MID,,
WSnellingESS,583,W,William,Snelling,ESS,Mid,MID,,
ZMerrettESS,225,Z,Zach,Merrett,ESS,Mid,MID,,
ZClarkeESS,837,Z,Zac,Clarke,ESS,Ruck,RU,,
ABrayshawFRE,226,A,Andrew,Brayshaw,FRE,Mid,MID,,
ACerraFRE,227,A,Adam,Cerra,FRE,Mid,MID,,
APearceFRE,228,A,Alex,Pearce,FRE,KeyD,DEF,,
ASandilandsFRE,229,A,Aaron,Sandilands,FRE,Ruck,RU,,
BBanfieldFRE,230,B,Bailey,Banfield,FRE,Mid,MID,,
BCoxFRE,231,B,Brennan,Cox,FRE,KeyF,FWD,193,96
BGreyFRE,232,B,Brady,Grey,FRE,Mid,MID,,
BHillFRE,233,B,Bradley,Hill,FRE,Mid,MID,,
BMateraFRE,234,B,Brandon,Matera,FRE,GenF,FWD,,
BBewleyFRE,874,B,Brett,Bewley,FRE,Mid,MID,,
CBlakelyFRE,235,C,Connor,Blakely,FRE,Mid,MID,,
CMcCarthyFRE,236,C,Cam,McCarthy,FRE,KeyF,FWD,192,92
DMundyFRE,238,D,David,Mundy,FRE,Mid,MID,,
DPearceFRE,239,D,Danyle,Pearce,FRE,Mid,MID,,
DTuckerFRE,240,D,Darcy,Tucker,FRE,GenD,DEF,,
DO'ReillyFRE,949,D,Dillon,O'Reilly,FRE,GenD,DEF,,
EHughesFRE,241,E,Ethan,Hughes,FRE,KeyD,DEF,,
ELangdonFRE,242,E,Ed,Langdon,FRE,Mid,MID,,
GLogueFRE,243,G,Griffin,Logue,FRE,GenD,DEF,,
HBallantyneFRE,244,H,Hayden,Ballantyne,FRE,GenF,FWD,,
HBennellFRE,245,H,Harley,Bennell,FRE,Mid,MID,,
HDixonFRE,246,H,Hugh,Dixon,FRE,KeyF,FWD,194,95
HDixonFRE,875,H,Hugh,Dixon,FRE,KeyF,FWD,,
JHamlingFRE,247,J,Joel,Hamling,FRE,KeyD,DEF,,
JHoganFRE,470,J,Jesse,Hogan,FRE,KeyF,FWD,195,100
JCarterFRE,876,J,Jason,Carter,FRE,GenD,DEF,,
LMeekFRE,248,L,Lloyd,Meek,FRE,Ruck,RU,,
LRyanFRE,250,L,Luke,Ryan,FRE,GenD,DEF,,
LSpurrFRE,251,L,Lee,Spurr,FRE,GenD,DEF,,
LStrnadicaFRE,252,L,Luke,Strnadica,FRE,KeyF,FWD,,
LSchultzFRE,877,L,Lachlan,Schultz,FRE,GenF,FWD,,
